full_name,team_logo_espn,first_td_times,first_td_rush,first_td_pass,teamTDperc,season,offense
Isaiah Ford,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,1,0,1,0.09090909090909091,2021,MIA
Isaiah Hodgins,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,1,0,1,0.3333333333333333,2023,NYG
Isaiah Likely,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,1,0,1,0.08333333333333333,2023,BAL
Isaiah McKenzie,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,1,0,1,0.07142857142857142,2021,BUF
Isiah Pacheco,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,1,1,0,0.08333333333333333,2022,KC
J.K. Dobbins,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,1,1,0,0.08333333333333333,2023,BAL
Ja'Marr Chase,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,1,0,1,0.14285714285714285,2023,CIN
Jacob Hollister,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,1,0,1,0.09090909090909091,2020,SEA
Jadeveon Clowney,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,1,0,0,0.1111111111111111,2019,SEA
Jahan Dotson,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,1,0,1,0.125,2022,WAS
Jahmyr Gibbs,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,1,1,0,0.14285714285714285,2023,DET
Jake Bobo,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,1,1,0,0.14285714285714285,2023,SEA
Jakeem Grant,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,1,0,1,0.1111111111111111,2021,CHI
Jalen Hurts,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,1,1,0,0.14285714285714285,2021,PHI
Jalen Reagor,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,1,0,1,0.16666666666666666,2020,PHI
Jalen Virgil,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,1,0,1,0.16666666666666666,2022,DEN
Jamaal Williams,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,1,0,1,0.09090909090909091,2019,GB
James Conner,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,1,1,0,0.1,2020,PIT
James O'Shaughnessy,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,1,0,1,0.3333333333333333,2019,JAX
James Robinson,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,1,1,0,0.3333333333333333,2021,JAX
James Washington,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,1,0,1,0.1,2020,PIT
James Washington,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,1,0,1,0.125,2021,PIT
